languageTag,key,message,annotation
default,dateFormV1,"<html><body class=""htmlform""><div class=""container""><form id=""Ava_date_form "" class=""Ava_date_form_class"" onsubmit=""return getDate(),!1""><h2 class=""Ava_heading"">Update Personal Information</h2><h3 class=""Ava_subheading"">Update Date</h3><label class=""Ava_label"" for=""dateAcquiredLbl"">Effective Date<span style=""color:red"">*</span></label><input type=""date"" id=""Ava_myDate"" class=""Ava_myDate_class FStyle"" placeholder=""Select date"" required><div class=""d-flex""><button type=""submit"" id=""btnSubmit"" class=""btn Ava_btn"" onsubmit=""return getDate(),!1"" style=""background-color:#fff;color:#991010"">Submit</button><button type=""button"" id=""btnCancel"" class=""btn btn-danger Ava_single_btn"" onclick='cancelTransaction(""gender_effetiveDate"")'>Cancel</button></div></form></div></body></html>",
default,emailForm,"<!DOCTYPE html><html><body><form id=""Ava_EmailForm"" class=""Ava_EmailForm_cl"" onsubmit=""return getEmailId(),!1""><center><h4 class=""Ava_h4"">Update Personal Information</h4><h2 class=""Ava_h1"">Update Email</h2></center><label for=""Email"">Email:<span style=""color:red"">*</span></label><br><input type=""email"" id=""Ava_text_id1"" name=""Email"" class=""Ava_email_cl Ava_single_select"" placeholder=""Enter Email Id"" required><br><br><div class=""Ava_column1""><input type=""Submit"" class=""Ava_single_btn"" onsubmit=""return getEmailId(),!1""></div><div class=""Ava_column1""><input type=""button"" value=""Cancel"" class=""Ava_single_btn"" onclick='cancelTransaction(""get_email"")'></div></form></body></html>",
default,emailFormHTML,"<html><body class=""htmlform""><div class=""Ava_container""><form id=""Ava_EmailForm"" class=""Ava_EmailForm_cl"" onsubmit=""return getEmailId(),!1""><h2 class=""Ava_heading"">Update Personal Information</h2><h3 class=""Ava_subheading"">Update Email</h3><label class=""Ava_label"" for=""Email"">Email<span style=""color:red"">*</span></label><input type=""email"" id=""Ava_text_id1"" name=""Email"" class=""Ava_email_cl Ava_FStyle"" placeholder=""Enter Email Id"" required><div class=""Ava_dflex""><button type=""submit"" id=""btnSubmit"" class=""Ava_btn"" onsubmit=""return getEmailId(),!1"" style=""background-color:#fff;color:#991010"">Submit</button><button type=""button"" id=""btnCancel"" class="" Ava_single_btn"" onclick='cancelTransaction(""get_email"")'>Cancel</button></div></form></div></body></html>",
default,emailFormV1,"<html><body class=""htmlform""><div class=""container""><form id=""Ava_EmailForm"" class=""Ava_EmailForm_cl"" onsubmit=""return getEmailId(),!1""><h2 class=""Ava_heading"">Update Personal Information</h2><h3 class=""Ava_subheading"">Update Email</h3><label class='Ava_label'  for=""Email"">Email<span style=""color:red"">*</span></label><input type=""email"" id=""Ava_text_id1"" name=""Email"" class=""Ava_email_cl FStyle"" placeholder=""Enter Email Id"" required><div class=""d-flex""><button type=""submit"" id=""btnSubmit"" class=""btn Ava_btn"" onsubmit=""return getEmailId(),!1"" style=""background-color:#fff;color:#991010"">Submit</button><button type=""button"" id=""btnCancel"" class=""btn btn-danger Ava_single_btn"" onclick='cancelTransaction(""get_email"")'>Cancel</button></div></form></div></body></html>",
default,getNameForm,"<form id=""Ava_Personal_Details_Form"" class=""Ava_Personal_Details_Form_cl Ava_Personalform_cl"" onsubmit=""return getNameDetails(),!1""><center><h4 class=""Ava_h4"">Update Personal Information</h4><h2 class=""Ava_h1"">Update Name</h2></center><div class=""Ava_row""><div class=""Ava_column""><label class=""Ava_label_per"">Prefix:</label><select name=""Ava_Prefix"" id=""Ava_id1"" class=""Ava_Prefix_cl Ava_select""><option value="""">Select an option</option>{0}</select><br></div><div class=""Ava_column""><label class=""Ava_label_per"">First Name:</label><input type=""text"" id=""Ava_text_id1"" class=""Ava_First_Name_cl Ava_Text"" style=""text-transform:capitalize"" placeholder=""Enter first name"" pattern=""^[A-Za-z]+$"" oninvalid='this.setCustomValidity(""Please enter a valid first name"")' oninput='this.setCustomValidity("""")'><br></div><div class=""Ava_column""><label class=""Ava_label_per"">Middle Name:</label><input type=""text"" id=""Ava_text_id1"" class=""Ava_Middle_Name_cl Ava_Text"" style=""text-transform:capitalize"" placeholder=""Enter middle name"" pattern=""^[A-Za-z]+$"" oninvalid='this.setCustomValidity(""Please enter a valid middle name"")' oninput='this.setCustomValidity("""")'><br></div><div class=""Ava_column""><label class=""Ava_label_per"">Last Name:</label><input type=""text"" id=""Ava_text_id1"" class=""Ava_Last_Name_cl Ava_Text"" style=""text-transform:capitalize"" placeholder=""Enter last name"" pattern=""^[A-Za-z]+$"" oninvalid='this.setCustomValidity(""Please enter valid last name"")' oninput='this.setCustomValidity("""")'><br></div><div class=""Ava_column""><label class=""Ava_label_per"">Select Documents:</label><select name=""Ava_Doc"" id=""Ava_id1"" class=""Ava_Doc_cl Ava_select""><option value="""">Select an option</option>{1}</select></div><div class=""Ava_column""><label class=""Ava_label_per"">Suffix:</label><select name=""Ava_Prefix"" id=""Ava_id1"" class=""Ava_suffix_cl Ava_select""><option value="""">Select an option</option>{2}</select><br></div><div class=""Ava_column""><input type=""Submit"" class=""Ava_btn"" onsubmit=""return getNameDetails(),!1""></div><div class=""Ava_column""><input type=""button"" value=""Cancel"" class=""Ava_single_btn"" onclick='cancelTransaction(""get_name"")'></div></div></form>",
default,getNameFormHTML,"<html><body class=""htmlform""><div class=""Ava_container""><form id=""Ava_Personal_Details_Form"" class=""Ava_Personal_Details_Form_cl Ava_Personalform_cl"" onsubmit=""return getNameDetails(),!1""><h2 class=""Ava_heading"">Update Personal Information</h2><h3 class=""Ava_subheading"">Update Name</h3><label class=""Ava_label"">Prefix:<span style=""color:red"">*</span></label><select name=""Ava_Prefix"" id=""Ava_id1"" class=""Ava_Prefix_cl Ava_single_select Ava_dropdown Ava_FStyle"" required><option value="""">Select an option</option>{0}</select><label class=""Ava_label"">First Name:<span style=""color:red"">*</span></label><input type=""text"" id=""Ava_text_id1"" class=""Ava_First_Name_cl Ava_FStyle"" placeholder=""Enter first name"" pattern=""^[A-Za-z]+$"" oninvalid='this.setCustomValidity(""Please enter a valid first name"")' oninput='this.setCustomValidity("""")'><label class=""Ava_label"">Middle Name:<span style=""color:red"">*</span></label><input type=""text"" id=""Ava_text_id1"" class=""Ava_Middle_Name_cl Ava_FStyle"" placeholder=""Enter middle name"" pattern=""^[A-Za-z]+$"" oninvalid='this.setCustomValidity(""Please enter a valid middle name"")' oninput='this.setCustomValidity("""")'><label class=""Ava_label"">Last Name<span style=""color:red"">*</span></label><input type=""text"" id=""Ava_text_id1"" class=""Ava_Last_Name_cl Ava_FStyle"" placeholder=""Enter last name"" pattern=""^[A-Za-z]+$"" oninvalid='this.setCustomValidity(""Please enter a valid last name"")' oninput='this.setCustomValidity("""")'><label class=""Ava_label"">Select Documents:<span style=""color:red"">*</span></label><select name=""Ava_Doc"" id=""Ava_id1"" class=""Ava_Doc_cl Ava_single_select Ava_dropdown Ava_FStyle"" required><option value="""">Select an option</option>{1}</select><label class=""Ava_label"">Suffix:<span style=""color:red"">*</span></label><select name=""Ava_Prefix"" id=""Ava_id1"" class=""Ava_suffix_cl Ava_single_select Ava_dropdown Ava_FStyle"" required><option value="""">Select an option</option>{2}</select><div class=""Ava_dflex""><button type=""submit"" id=""btnSubmit"" class=""Ava_btn"" onsubmit=""return getNameDetails()"" style=""background-color:#fff;color:#991010"">Submit</button><button type=""button"" id=""btnCancel"" class="" Ava_single_btn"" onclick='cancelTransaction(""get_name"")'>Cancel</button></div></form></div></body></html>",
default,getNameFormV1,"<html><body class=""htmlform""><div class=""container""><form id=""Ava_Personal_Details_Form"" class=""Ava_Personal_Details_Form_cl"" onsubmit=""return getNameDetails(),!1""><h2 class=""Ava_heading"">Update Personal Information</h2><h3 class=""Ava_subheading"">Update Name</h3><label class=""Ava_label"">Prefix:<span style=""color:red"">*</span></label><select name=""Ava_Prefix"" id=""Ava_id1"" class=""Ava_Prefix_cl Ava_dropdown"" required><option value="""">Select an option</option>{0}</select><label class=""Ava_label"">First Name:<span style=""color:red"">*</span></label><input type=""text"" id=""Ava_text_id1"" class=""Ava_First_Name_cl FStyle"" placeholder=""Enter first name"" pattern=""^[A-Za-z]+$"" oninvalid='this.setCustomValidity(""Please enter a valid first name"")' oninput='this.setCustomValidity("""")'><label class=""Ava_label"">Middle Name:<span style=""color:red"">*</span></label><input type=""text"" id=""Ava_text_id1"" class=""Ava_Middle_Name_cl FStyle"" placeholder=""Enter middle name"" pattern=""^[A-Za-z]+$"" oninvalid='this.setCustomValidity(""Please enter a valid middle name"")' oninput='this.setCustomValidity("""")'><label class=""Ava_label"">Last Name:<span style=""color:red"">*</span></label><input type=""text"" id=""Ava_text_id1"" class=""Ava_Last_Name_cl FStyle"" placeholder=""Enter last name"" pattern=""^[A-Za-z]+$"" oninvalid='this.setCustomValidity(""Please enter a valid last name"")' oninput='this.setCustomValidity("""")'><label class=""Ava_label"">Select Documents:<span style=""color:red"">*</span></label><select name=""Ava_Doc"" id=""Ava_id1"" class=""Ava_Doc_cl Ava_dropdown"" required><option value="""">Select an option</option>{1}</select><label class=""Ava_label"">Suffix:<span style=""color:red"">*</span></label><select name=""Ava_Prefix"" id=""Ava_id1"" class=""Ava_suffix_cl Ava_dropdown"" required><option value="""">Select an option</option>{2}</select><div class=""d-flex""><button type=""submit"" id=""btnSubmit"" class=""btn Ava_btn"" onsubmit=""return getNameDetails(),!1"" style=""background-color:#fff;color:#991010"">Submit</button><button type=""button"" id=""btnCancel"" class=""btn btn-danger Ava_single_btn"" onclick='cancelTransaction(""get_name"")'>Cancel</button></div></form></div></body></html>",
default,global.handler.error.message,"{channelType, select,
other{Something unforeseen has happened. I don't know it's a communication problem or parts of my services aren't working. I hope it's the latter so you can keep going.}
}",
default,global.handler.security.notAuthorized.unauthorizedMessage,I am not able to get you signed-on. You probably decided to cancel the sign on. Happy to start over.,
default,maritalStatusForm,"<html><body><form id=""Ava_Marital_Status_Form"" class=""Ava_Marital_Status_Form_cl Ava_form_cl"" onsubmit=""return getMaritalStatusDetails(),!1""><center><br><h4 class=""Ava_h4"">Update Personal Information</h4><h2 class=""Ava_h1"">Update Marital Status</h2></center><label>Effective Date:</label><span style=""color:red"">*</span><br><input type=""date"" id=""Ava_Date_id1"" class=""Ava_Date_cl Ava_single_select"" maxlength=""45"" max=""2025-12-31"" required><br><br><label>Marital Status:</label><span style=""color:red"">*</span><br><select name=""Ava_Mar_status"" id=""Ava_id1"" class=""Ava_Mar_status_cl Ava_single_select"" required><option value="""">Select an option</option>{0}</select><br><br><label>Select Documents:</label><br><select name=""Ava_Doc"" id=""Ava_id1"" class=""Ava_Doc_cl Ava_single_select""><option value="""">Select an option</option>{1}</select><br><br><div class=""Ava_column1""><input type=""Submit"" class=""Ava_single_btn"" onsubmit=""return getMaritalStatusDetails()""></div><div class=""Ava_column1""><input type=""button"" value=""Cancel"" class=""Ava_single_btn"" onclick='cancelTransaction(""get_MaritalStatus"")'></div></form></body></html>",
default,maritalStatusFormHTML,"<html><body class=""htmlform""><div class=""Ava_container""><form id=""Ava_Marital_Status_Form"" class=""Ava_Marital_Status_Form_cl"" onsubmit=""return getMaritalStatusDetails(),!1""><h2 class=""Ava_heading"">Update Personal Information</h2><h3 class=""Ava_subheading"">Update Marital Status</h3><label class=""Ava_label"">Date acquired:<span style=""color:red"">*</span></label><input type=""date"" id=""Ava_Date_id1"" class=""Ava_Date_cl Ava_FStyle"" maxlength=""45"" max=""2025-12-31"" required><label class=""Ava_label"">Marital Status:<span style=""color:red"">*</span></label><select name=""Ava_Mar_status"" id=""Ava_id1"" class=""Ava_Mar_status_cl Ava_single_select Ava_dropdown Ava_FStyle"" required><option value="""">Select an option</option>{0}</select><label class=""Ava_label"">Select Documents:<span style=""color:red"">*</span></label><select name=""Ava_Doc"" id=""Ava_id1"" class=""Ava_Doc_cl Ava_single_select Ava_dropdown Ava_FStyle"" required><option value="""">Select an option</option>{1}</select><div class=""Ava_dflex""><button type=""submit"" id=""btnSubmit"" class=""Ava_btn"" onsubmit=""return getMaritalStatusDetails()"" style=""background-color:#fff;color:#991010"">Submit</button><button type=""button"" id=""btnCancel"" class=""Ava_single_btn"" onclick='cancelTransaction(""get_MaritalStatus"")'>Cancel</button></div></form></div></body></html>",
default,maritalStatusFormV1,"<html><body class=""htmlform""><div class=""container""><form id=""Ava_Marital_Status_Form"" class=""Ava_Marital_Status_Form_cl"" onsubmit=""return getMaritalStatusDetails(),!1""><h2 class=""Ava_heading"">Update Personal Information</h2><h3 class=""Ava_subheading"">Update Marital Status</h3><label class=""Ava_label"">Date acquired:<span style=""color:red"">*</span></label><input type=""date"" id=""Ava_Date_id1"" class=""Ava_Date_cl FStyle"" maxlength=""45"" max=""2025-12-31"" required><label class=""Ava_label"">Marital Status:<span style=""color:red"">*</span></label><select name=""Ava_Mar_status"" id=""Ava_id1"" class=""Ava_Mar_status_cl Ava_dropdown"" required><option value="""">Select an option</option>{0}</select><label class=""Ava_label"">Select Documents:<span style=""color:red"">*</span></label><select name=""Ava_Doc"" id=""Ava_id1"" class=""Ava_Doc_cl Ava_dropdown"" required><option value="""">Select an option</option>{1}</select><div class=""d-flex""><button type=""submit"" id=""btnSubmit"" class=""btn Ava_btn"" onsubmit=""return getMaritalStatusDetails()"" style=""background-color:#fff;color:#991010"">Submit</button><button type=""button"" id=""btnCancel"" class=""btn btn-danger Ava_single_btn"" onclick='cancelTransaction(""get_MaritalStatus"")'>Cancel</button></div></form></div></body></html>",
default,nameForm,"<form id=""Ava_Personal_Details_Form"" class=""Ava_Personal_Details_Form_cl Ava_Personalform_cl"" onsubmit=""return getNameDetails(),!""><center><h4 class=""Ava_h4"">Update Personal Information</h4><h2 class=""Ava_h1"">Update Name</h2></center><div class=""Ava_row""><div class=""Ava_column""><label class=""Ava_label_per"">Prefix:<span style=""color:red"">*</span></label><select name=""Ava_Prefix"" id=""Ava_id1"" class=""Ava_Prefix_cl Ava_select"" required><option value="""">Select an option</option>{0}</select><br></div><div class=""Ava_column""><label class=""Ava_label_per"">First Name:<span style=""color:red"">*</span></label><input type=""text"" id=""Ava_text_id1"" class=""Ava_First_Name_cl Ava_Text"" style=""text-transform:capitalize"" placeholder=""Enter first name"" pattern=""^[A-Za-z]+$"" oninvalid='this.setCustomValidity(""Please enter a valid first name"")' oninput='this.setCustomValidity("""")' required><br></div><div class=""Ava_column""><label class=""Ava_label_per"">Middle Name:</label><input type=""text"" id=""Ava_text_id1"" class=""Ava_Middle_Name_cl Ava_Text"" style=""text-transform:capitalize"" placeholder=""Enter middle name"" pattern=""^[A-Za-z]+$"" oninvalid='this.setCustomValidity(""Please enter a valid middle name"")' oninput='this.setCustomValidity("""")' required><br></div><div class=""Ava_column""><label class=""Ava_label_per"">Last Name:<span style=""color:red"">*</span></label><input type=""text"" id=""Ava_text_id1"" class=""Ava_Last_Name_cl Ava_Text"" style=""text-transform:capitalize"" placeholder=""Enter last name"" pattern=""^[A-Za-z]+$"" oninvalid='this.setCustomValidity(""Please enter valid last name"")' oninput='this.setCustomValidity("""")' required><br></div><div class=""Ava_column""><label class=""Ava_label_per"">Select Documents:<span style=""color:red"">*</span></label><select name=""Ava_Doc"" id=""Ava_id1"" class=""Ava_Doc_cl Ava_select"" required><option value="""">Select an option</option>{1}</select></div><div class=""Ava_column""><input type=""Submit"" class=""Ava_btn"" onsubmit=""return getNameDetails();return false""></div><div class=""Ava_column""><input type=""button"" value=""Cancel"" class=""Ava_single_btn"" onclick='cancelTransaction(""get_name"")'></div></div></form>",
default,nameFormHTML,"<html><body class=""htmlform""><div class=""Ava_container""><form id=""Ava_Personal_Details_Form"" class=""Ava_Personal_Details_Form_cl Ava_Personalform_cl"" onsubmit=""return getNameDetails(),!""><h2 class=""Ava_heading"">Update Personal Information</h2><h3 class=""Ava_subheading"">Update Name</h3><label class=""Ava_label"">Prefix:<span style=""color:red"">*</span></label><select name=""Ava_Prefix"" id=""Ava_id1"" class=""Ava_Prefix_cl Ava_single_select Ava_dropdown Ava_FStyle"" required><option value="""">Select an option</option>{0}</select><label class=""Ava_label"">First Name:<span style=""color:red"">*</span></label><input type=""text"" id=""Ava_text_id1"" class=""Ava_First_Name_cl FStyle"" placeholder=""Enter first name"" pattern=""^[A-Za-z]+$"" oninvalid='this.setCustomValidity(""Please enter a valid first name"")' oninput='this.setCustomValidity("""")'><label class=""Ava_label"">Middle Name:<span style=""color:red"">*</span></label><input type=""text"" id=""Ava_text_id1"" class=""Ava_Middle_Name_cl FStyle"" placeholder=""Enter middle name"" pattern=""^[A-Za-z]+$"" oninvalid='this.setCustomValidity(""Please enter a valid middle name"")' oninput='this.setCustomValidity("""")'><label class=""Ava_label"">Last Name:<span style=""color:red"">*</span></label><input type=""text"" id=""Ava_text_id1"" class=""Ava_Last_Name_cl Fstyle"" placeholder=""Enter last name"" pattern=""^[A-Za-z]+$"" oninvalid='this.setCustomValidity(""Please enter valid last name"")' oninput='this.setCustomValidity("""")'><label class=""Ava_label"">Select Documents:<span style=""color:red"">*</span></label><select name=""Ava_Doc"" id=""Ava_id1"" class=""Ava_Doc_cl Ava_single_select Ava_dropdown Ava_FStyle"" required><option value="""">Select an option</option>{1}</select><div class=""Ava_dflex""><button type=""submit"" id=""btnSubmit"" class=""Ava_btn"" onsubmit=""return getNameDetails()"" style=""background-color:#fff;color:#991010"">Submit</button><button type=""button"" id=""btnCancel"" class=""Ava_single_btn"" onclick='cancelTransaction(""get_name"")'>Cancel</button></div></form></div></body></html>",
default,nameFormV1,"<html><body class=""htmlform""><div class=""container""><form id=""Ava_Personal_Details_Form"" class=""Ava_Personal_Details_Form_cl Ava_Personalform_cl"" onsubmit=""return getNameDetails(),!""><h2 class=""Ava_heading"">Update Personal Information</h2><h3 class=""Ava_subheading"">Update Name</h3><label class=""Ava_label"">Prefix:<span style=""color:red"">*</span></label><select name=""Ava_Prefix"" id=""Ava_id1"" class=""Ava_Prefix_cl Ava_dropdown"" required><option value="""">Select an option</option>{0}</select><label class=""Ava_label"">First Name:<span style=""color:red"">*</span></label><input type=""text"" id=""Ava_text_id1"" class=""Ava_First_Name_cl FStyle"" placeholder=""Enter first name"" pattern=""^[A-Za-z]+$"" oninvalid='this.setCustomValidity(""Please enter a valid first name"")' oninput='this.setCustomValidity("""")'><label class=""Ava_label"">Middle Name:<span style=""color:red"">*</span></label><input type=""text"" id=""Ava_text_id1"" class=""Ava_Middle_Name_cl FStyle"" placeholder=""Enter middle name"" pattern=""^[A-Za-z]+$"" oninvalid='this.setCustomValidity(""Please enter a valid middle name"")' oninput='this.setCustomValidity("""")'><label class=""Ava_label"">Last Name:<span style=""color:red"">*</span></label><input type=""text"" id=""Ava_text_id1"" class=""Ava_Last_Name_cl FStyle"" placeholder=""Enter last name"" pattern=""^[A-Za-z]+$"" oninvalid='this.setCustomValidity(""Please enter a valid last name"")' oninput='this.setCustomValidity("""")'><label class=""Ava_label"">Select Documents:<span style=""color:red"">*</span></label><select name=""Ava_Doc"" id=""Ava_id1"" class=""Ava_Doc_cl Ava_dropdown"" required><option value="""">Select an option</option>{1}</select><label class=""Ava_label"">Suffix:<span style=""color:red"">*</span></label><select name=""Ava_Prefix"" id=""Ava_id1"" class=""Ava_suffix_cl Ava_dropdown"" required><option value="""">Select an option</option>{2}</select><div class=""d-flex""><button type=""submit"" id=""btnSubmit"" class=""btn Ava_btn"" onsubmit=""return getNameDetails()"" style=""background-color:#fff;color:#991010"">Submit</button><button type=""button"" id=""btnCancel"" class=""btn btn-danger Ava_single_btn"" onclick='cancelTransaction(""get_name"")'>Cancel</button></div></form></div></body></html>",
default,PhoneNoForm,"<html> <body> <form id=""Ava_Phone"" class=""Ava_Phone_cl"" onsubmit=""getPhoneNo(); return false""> <center> <h4 class=""Ava_h4"">Update Personal Information</h4> <h2 class=""Ava_h1"">Update Phone No</h2> </center> <label>Phone: <span style=""color:red"">*</span> </label> <br> <input type=""text"" id=""Ava_PhN"" class=""Ava_PhN_cl Ava_single_select"" placeholder=""Enter phone no"" pattern=""^([7-9][0-9]{9})$"" oninvalid='this.setCustomValidity(""Please enter valid phone no"")' oninput='this.setCustomValidity("""")' required> <br> <br> <div class=""Ava_column""> <input type=""Submit"" class=""Ava_single_btn"" onsubmit=""getPhoneNo(); return false""> </div> <div class=""Ava_column""> <input type=""button"" value=""Cancel"" class=""Ava_single_btn"" onclick=""cancelTransaction('get_phone');""> </div> </form> </body></html>",
default,PhoneNoFormHTML,"<html><body class=""htmlform""><div class=""Ava_container""><form id=""Ava_Phone"" class=""Ava_Phone_cl"" onsubmit=""return getPhoneNo(e),!1""><h2 class=""Ava_heading"">Update Personal Information</h2><h3 class=""Ava_subheading"">Update Phone</h3><label class=""Ava_label"">Phone:<span style=""color:red"">*</span></label><input type=""text"" id=""Ava_PhN"" class=""Ava_PhN_cl Ava_FStyle"" placeholder=""Enter phone no"" pattern=""^([7-9][0-9]{9})$"" oninvalid='this.setCustomValidity(""Please enter valid phone no"")' oninput='this.setCustomValidity("""")' required><div class=""Ava_dflex""><button type=""submit"" id=""btnSubmit"" class=""Ava_btn"" onsubmit=""return getPhoneNo(e),!1"" style=""background-color:#fff;color:#991010"">Submit</button><button type=""button"" id=""btnCancel"" class="" Ava_single_btn"" onclick='cancelTransaction(""get_phone"")'>Cancel</button></div></form></div></body></html>",
default,PhoneNoFormV1,"<html><body class=""htmlform""><div class=""container""><form id=""Ava_Phone"" class=""Ava_Phone_cl"" onsubmit=""return getPhoneNo(),!1""><h2 class=""Ava_heading"">Update Personal Information</h2><h3 class=""Ava_subheading"">Update Phone</h3><label class=""Ava_label"">Phone:<span style=""color:red"">*</span></label><input type=""text"" id=""Ava_PhN"" class=""Ava_PhN_cl FStyle"" placeholder=""Enter phone no"" pattern=""^([7-9][0-9]{9})$"" oninvalid='this.setCustomValidity(""Please enter valid phone no"")' oninput='this.setCustomValidity("""")' required><div class=""d-flex""><button type=""submit"" id=""btnSubmit"" class=""btn Ava_btn"" onsubmit=""return getPhoneNo(),!1"" style=""background-color:#fff;color:#991010"">Submit</button><button type=""button"" id=""btnCancel"" class=""btn btn-danger Ava_single_btn"" onclick='cancelTransaction(""get_phone"")'>Cancel</button></div></form></div></body></html>",
default,PhoneNumberAdd,"<form class=""Ava_Phone_cl"" id=""Ava_Phone"" onsubmit=""return getPhoneNo(event)""><div style=""text-align:center""><h4 class=""Ava_h4"">Add Phone Number</h4></div><label for=""Ava_PhoneType"">Phone Type:</label><br><select name=""Ava_PhoneType"" id=""Ava_PhoneType"" class=""Ava_PhoneType"">{0}</select><br><label for=""Ava_PhoneNumber"">Enter your new Number:<span style=""color:red"">*</span></label><br><input class=""Ava_single_select Ava_PhoneNumber"" id=""Ava_PhoneNumber"" placeholder=""Enter phone no"" oninput='this.setCustomValidity("""")' oninvalid='this.setCustomValidity(""Please enter a valid phone number"")' pattern=""^([7-9][0-9]{9})$"" required><br><label for=""Ava_PhoneCheck"">Is this your primary number?</label><br><input class=""Ava_PhoneCheck"" id=""Ava_PhoneCheck"" type=""checkbox""><div class=""Ava_column""><input class=""Ava_single_btn"" type=""submit"" value=""Submit""></div><div class=""Ava_column""><input class=""Ava_single_btn"" type=""button"" onclick='cancelTransaction(""get_phone"")' value=""Cancel""></div></form>",
